hour,SOC,DOC,MBC,EEC
0,68.03681752,1.358735584,1.58222097,1.802999663
10,73.35237931,1.865895337,2.151217067,1.560760502
20,80.24930788,2.173747721,1.768049188,1.641342507
30,75.58584816,1.575058449,1.757436025,1.694729115
40,79.27268055,1.678962093,2.066205184,1.683184208
50,64.58174323,1.407885411,1.710210679,1.811979152
60,74.95337622,2.412417445,1.70507454,1.875535891
70,78.71809607,1.5709546,1.788618465,1.641884731
80,81.88502384,1.778872955,2.330423643,1.722045074
90,77.10536211,2.639087597,2.322210294,1.832032334
100,82.39829412,2.15100737,1.675919761,1.75235966
110,70.87131358,2.542022995,1.977468224,1.670116511
120,74.57271213,2.553078687,1.776059472,1.771145913
130,73.79121317,2.246329231,1.51663109,1.505452798
140,76.28980383,2.052814793,1.49974142,1.613291407
150,86.19593604,2.481814209,2.08351174,1.755005943
160,74.16914592,2.560377565,1.599489544,2.000019003
170,89.79512584,2.793804694,1.86936681,1.824841999
180,75.12829363,2.639646106,2.21451311,1.510059065
190,74.68111108,2.718446468,2.049914924,1.714466022
200,75.83102015,2.956666966,1.69753895,1.554685169
210,68.21792831,2.358503942,1.790109955,1.675368869
220,74.41961222,2.963319648,1.879707633,1.780499031
230,72.72238885,2.654007157,1.723288067,1.523525159
240,75.37920393,2.61324996,1.709263617,1.430527382
250,74.2058746,3.28564257,1.67768259,1.950351942
260,77.80067976,2.545663224,1.45443116,1.549669185
270,72.64003033,2.38802363,2.386542087,1.484697309
280,67.18411477,2.557700593,2.158390023,1.599752348
290,85.69402349,2.973010993,1.627647386,1.448139072
300,71.59533779,2.926717205,2.060820598,1.218401056
310,77.91364813,2.930048318,1.821590176,1.564150159
320,69.97236671,3.122499993,1.225303312,1.600037358
330,85.03105516,2.988682126,1.613012485,1.758932579
340,72.89261386,3.403727829,1.761435507,1.440305245
350,70.30460359,2.511341988,1.760326619,1.643870821
360,75.82759431,2.786961371,2.044247842,1.607119071
370,83.28552539,3.254335953,2.308473705,1.170557652
380,76.07788586,3.225587415,1.956488264,1.770687593
390,68.18024087,3.880870126,1.658234615,1.678537977
400,59.05218822,2.900399727,1.88061007,1.649096307
410,70.64294306,3.976053617,1.896599927,1.540303188
420,63.63291268,2.748697968,1.340581776,1.532190189
430,68.39399502,3.428746495,1.810397561,1.551018774
440,77.69945399,3.132079517,2.428745721,1.735265134
450,69.55108441,3.88677917,2.422044063,1.364972247
460,68.39087531,3.381653466,2.155177942,1.518759082
470,71.46889543,4.009804102,1.947091738,1.724756087
480,76.50803123,2.659147482,1.558643833,1.46241007
490,75.48129087,3.512017132,1.648469508,1.595582249
500,62.6448561,3.635236356,2.004232341,1.309882524
510,80.2255709,3.776163765,2.152253204,1.689125962
520,74.95991006,3.573642018,1.952143001,1.773687525
530,71.15090478,3.690991245,2.279832779,1.256899177
540,80.94089846,3.81635516,2.201634374,1.644168461
550,78.57626954,3.606679447,2.099788803,1.552212686
560,84.96662212,3.912562966,2.303342596,1.514330064
570,77.23977992,3.538308852,1.950266368,1.268294513
580,69.99247499,3.582790341,1.880945279,1.690139753
590,53.65448677,4.220916456,2.370281416,1.572103927
600,75.01782426,3.495733708,2.054391043,1.739306481
610,65.78709786,3.800073153,2.375111475,1.600290158
620,73.20338843,3.524993791,2.061161928,1.391784986
630,61.49106459,3.53831153,2.609469332,1.752233682
640,69.93617223,4.371161051,2.365547192,1.476274219
650,70.68959914,3.734378062,1.797520454,1.513407002
660,54.38447309,4.596888286,2.212249606,1.436605297
670,76.17484629,4.30572403,2.001114209,1.42688143
680,81.3566497,4.201198898,2.106368804,1.284388928
690,72.83638048,3.730809289,2.021632542,1.802828993
700,74.27061731,3.74963277,2.644131156,1.319300994
710,76.69499271,3.889517803,2.352109081,1.223799878
720,59.33657765,3.759454566,2.278779773,1.523629582
730,72.09821174,3.466365551,2.548096582,1.381869814
740,61.54383147,3.658885781,2.206972651,1.637141731
750,82.25005596,3.9191599,2.280323916,1.349067424
760,67.1956233,4.422363499,2.144073468,1.606588908
770,72.33802533,3.778524948,2.325953602,1.404195682
780,61.76314627,4.59511884,2.083574684,1.591478386
790,76.54380352,3.833787865,2.139501974,1.531489796
800,77.43553747,3.504889633,2.607210933,1.277945123
810,69.35699044,3.97503483,1.852299795,1.580047817
820,74.31958023,4.42746708,3.070122263,1.423102421
830,64.73473125,4.636713067,2.66990111,1.598619908
840,68.81620385,4.367576916,2.130765297,1.544501437
850,75.72483334,3.505499922,2.782110775,1.335618399
860,66.46719871,4.201219949,2.359983291,1.210843243
870,80.68458581,3.937002676,2.605750707,1.56826383
880,80.43028311,4.049119623,2.340268322,1.421928595
890,76.51549776,3.64114543,2.002117223,1.453772578
900,74.83099743,3.866150753,2.488021572,1.424516107
910,63.7050056,4.290342742,2.410824207,1.609487261
920,73.00957934,3.984932617,2.588943659,1.666143914
930,62.63296307,4.126647539,2.108671037,1.553245928
940,65.61148162,3.958446371,2.273343029,1.247312428
950,75.53643119,4.26287926,2.520186745,1.183394018
960,61.91466146,4.44244266,2.035578697,1.493096614
970,73.53404616,3.610316612,2.460790396,1.438157343
980,64.23669624,4.401092749,2.404565567,1.443384868
990,69.84160773,4.525003699,2.448955667,1.396073234
1000,71.74336491,4.605506509,2.735195667,1.629416718
1010,65.90175679,4.488376356,2.373458104,1.219348095
1020,68.49729395,4.664779898,2.549571647,1.41254754
1030,68.64310145,4.089872003,2.129375996,1.790893647
1040,73.82001497,4.280092263,2.036421632,1.679461385
1050,47.56587257,4.176511414,2.92043939,1.539466778
1060,73.86104496,4.155339192,2.986722022,1.302947494
1070,64.69380084,4.731876441,2.665283026,1.377420878
1080,66.10245504,4.333058681,2.657151431,1.279218705
1090,62.39594082,4.510057649,2.840170117,1.676348375
1100,69.91439752,4.473408727,2.75917609,1.834938394
1110,69.16059706,3.785896668,2.689181635,1.437729402
1120,60.43738105,3.738519938,3.271281115,1.401745985
1130,68.65586846,4.587939054,3.321677099,1.592319761
1140,69.4853362,4.556900875,3.054182423,1.488864608
1150,74.90480162,3.660708832,3.313546477,1.681553632
1160,63.06565181,4.26735148,2.897393872,1.561134975
1170,66.33127262,4.297654722,3.187369585,1.615513129
1180,67.84480145,3.730700016,2.958772305,1.259525298
1190,61.14316129,4.393332565,2.583523416,1.572675094
1200,76.18691732,4.002970559,2.594572458,1.344523453
1210,63.71136154,4.572627306,2.62141678,1.6962097
1220,67.29919349,4.377953172,2.47629363,1.286588746
1230,56.47017848,4.45227876,2.468605739,1.433937102
1240,57.36313829,4.093223886,2.668909517,1.477324099
1250,67.68016243,4.223001048,2.846297334,1.425427654
1260,77.44384907,4.554360865,2.772112859,1.477999459
1270,68.73968912,4.233954259,2.763467399,1.652959094
1280,63.61530737,5.397987434,3.117243821,1.372921286
1290,61.41579822,4.620218113,2.94333438,1.343682223
1300,71.76606685,4.485457387,3.252804716,1.489125168
1310,68.5686649,4.870252749,3.117167352,1.52203292
1320,69.88665492,3.856049295,3.206414939,1.584015681
1330,59.07722945,3.764417081,2.796500546,1.619901914
1340,61.89512849,4.769157312,3.265477026,1.535515993
1350,71.87379118,4.382505387,3.140635904,1.44016991
1360,76.48474213,4.612088738,3.601022386,1.54883152
1370,51.1578529,4.366539368,2.467543618,1.178229971
1380,58.97580806,4.430131833,3.113558503,1.317057222
1390,60.11221987,4.514938038,3.075169635,1.360266379
1400,79.21603747,4.737474718,3.232568472,1.420454529
1410,56.39192996,4.492728889,2.769866603,1.334146096
1420,51.66513918,4.617376529,3.598841279,1.621995594
1430,52.60376806,4.346855541,3.564795913,1.518150717
1440,66.8779954,4.820926624,3.185073711,1.550382765
1450,58.31233018,4.318021326,3.401722329,1.449935253
1460,52.55025602,4.352117655,3.243297456,1.535752374
1470,54.83637477,4.456341801,3.58136238,1.479907517
1480,58.3032465,3.616356721,3.664172519,1.696298216
1490,71.42110653,3.898830572,3.0772026,1.271925354
1500,64.76666803,4.809007686,3.054304378,1.50357114
1510,66.08877093,3.942250931,3.571563312,1.360172032
1520,67.23751679,4.438180739,3.645738817,1.331637744
1530,66.63580408,3.988384136,3.124129112,1.298996353
1540,69.4927987,3.860727204,3.232388644,1.363683397
1550,58.99527542,4.296868241,3.720304192,1.323684148
1560,67.44603479,4.517902649,3.793309019,1.235124689
1570,70.80290614,3.272399023,3.195552419,1.457264535
1580,58.30747043,3.712439723,3.456186254,1.473091132
1590,59.36730469,4.198261993,3.356414549,1.643816419
1600,57.79680204,4.11873645,3.505476582,1.515627116
1610,56.36784735,3.929282729,3.404585522,1.128090628
1620,47.92859919,3.81814912,2.895827315,1.520793005
1630,57.30073398,3.758475258,3.76192435,1.229053942
1640,64.47971668,4.11418664,3.322476966,1.553688098
1650,69.70926612,3.495769416,3.39296181,1.640765816
1660,64.90730601,2.565172049,3.659429389,1.581321997
1670,66.70053662,4.050449137,3.862895387,1.536901033
1680,62.39402524,3.998232872,3.577267461,1.640944209
1690,68.60020231,3.616511257,3.45556344,1.323348352
1700,71.40928342,4.279977044,3.538014916,1.736836375
1710,64.1081543,3.956151646,4.156919138,1.714975534
1720,65.31294364,4.484611456,3.88691039,1.327649782
1730,68.47380468,4.055263568,3.576085259,1.651957653
1740,54.88744715,3.488416333,3.676356591,1.59824843
1750,51.75444891,3.788961823,3.797296594,1.36531835
1760,53.47878086,3.351201984,3.816833844,1.716573864
1770,64.34548401,3.935872479,4.027271221,1.546380814
1780,45.71729488,3.492820504,3.563625217,1.456910867
1790,65.89120679,3.727392431,3.360860762,1.477364097
1800,51.28432072,3.660114226,3.599557338,1.656822258
1810,62.62799775,3.8473628,3.57080243,1.275158282
1820,62.28265239,3.593374534,3.67217235,1.784962378
1830,59.77043517,3.759503245,3.580715178,1.492558343
1840,62.39445631,3.715957509,3.509132683,1.623988699
1850,65.80308784,3.934489349,4.129087205,1.266500735
1860,62.84447685,3.799176191,3.587465563,1.782598466
1870,78.41542102,3.50284374,3.864899013,1.537802841
1880,56.11075249,3.695265196,4.310074167,1.617892454
1890,58.06706996,3.847855642,3.829692982,1.320541929
1900,56.81251587,3.329862807,3.720207785,1.649971797
1910,67.14516649,3.916506998,3.91983543,1.590520252
1920,58.33843114,3.772512969,4.127963665,1.269867178
1930,54.84950444,3.388736649,4.098163485,1.674003207
1940,61.65481751,3.392732758,4.042045258,1.384622889
1950,66.78316624,3.638309814,3.717295443,1.479474197
1960,54.928025,3.857888152,4.41823505,1.491427803
1970,62.87160079,3.77901486,3.773391708,1.52577163
1980,62.6570327,3.225581879,4.801824343,1.554219157
1990,57.34787201,4.163498224,3.988883874,1.443796166
2000,62.26180948,2.634410643,4.442327229,1.612261566
